Unnamed: 0,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities,Category,City
2953,Sunset Celebration at Mallory Square,Tourist attraction,4.7,1465.0,"Tourist attraction, Artistic handicrafts, Food court, Performing arts group","Sunset Celebration at Mallory Square, Mallory Square Pier, 420 Wall St, Key West, FL 33040",Key-west,USA,FL,,Entertainment,6885.5,4.61,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Tourist Attraction,Key-West
2954,USCGC Ingham Maritime Museum,Museum,4.8,1126.0,"Museum, Maritime museum, Tourist attraction","USCGC Ingham Maritime Museum, Southard St, Key West, FL 33041",Key-west,USA,FL,,Cultural,5404.8,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
2955,Fort Zachary Taylor Beach area,Park,4.6,1013.0,Park,"Fort Zachary Taylor Beach area, Unnamed Road, 601 Howard England Way, Key West, FL 33040",Key-west,USA,FL,,Nature,4659.799999999999,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Park,Key-West
2956,Key West Shipwreck Museum,Museum,4.3,983.0,"Museum, Tourist attraction","Key West Shipwreck Museum, 1 Whitehead St, Key West, FL 33040",Key-west,USA,FL,,Cultural,4226.9,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
2957,Fort East Martello Museum,Museum,4.5,954.0,"Museum, Art museum, Tourist attraction","Fort East Martello Museum, 3501 S Roosevelt Blvd, Key West, FL 33040",Key-west,USA,FL,,Cultural,4293.0,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
2958,Key West Museum of Art & History at the Custom House,Museum,4.6,458.0,"Museum, Art museum, Tourist attraction","Key West Museum of Art & History at the Custom House, 281 Front St, Key West, FL 33040",Key-west,USA,FL,,Cultural,2106.8,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
2959,Audubon House & Tropical Gardens,Museum,4.5,366.0,Museum,"Audubon House & Tropical Gardens, 205 Whitehead St, Key West, FL 33040",Key-west,USA,FL,,Cultural,1647.0,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
2960,Nancy Forrester's Secret Garden,Garden,4.4,355.0,"Garden, Animal rescue service, Tourist attraction","Nancy Forrester's Secret Garden, 518 Elizabeth St, Key West, FL 33040",Key-west,USA,FL,,Nature,1562.0000000000002,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Garden,Key-West
2961,Conch Tour Train,Tourist attraction,4.3,278.0,Tourist attraction,"Conch Tour Train, 201 Front St, Key West, FL 33040",Key-west,USA,FL,,Entertainment,1195.4,4.61,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Tourist Attraction,Key-West
2962,Sails To Rails Museum at Flagler Station,Museum,4.4,224.0,"Museum, History museum, Rail museum, Tourist attraction","Sails To Rails Museum at Flagler Station, 901 Caroline St, Key West, FL 33040",Key-west,USA,FL,,Cultural,985.6,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
2963,Key West Ghost And Mysteries Tour,Tourist attraction,4.6,140.0,Tourist attraction,"Key West Ghost And Mysteries Tour, 429 Caroline St, Key West, FL 33040",Key-west,USA,FL,,Entertainment,644.0,4.61,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Tourist Attraction,Key-West
2964,Indigenous Park,Nature preserve,4.5,117.0,"Nature preserve, Tourist attraction","Indigenous Park, 1801 White St, Key West, FL 33040",Key-west,USA,FL,,Nature,526.5,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Nature Preserve,Key-West
2965,Alex Vega Key West Firehouse Museum,Museum,4.8,107.0,"Museum, Tourist attraction","Alex Vega Key West Firehouse Museum, 1024 Grinnell St, Key West, FL 33040",Key-west,USA,FL,,Cultural,513.6,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
2966,Tennessee Williams Key West Exhibit,Museum,4.4,66.0,"Museum, Tourist attraction","Tennessee Williams Key West Exhibit, 513 Truman Ave, Key West, FL 33040",Key-west,USA,FL,,Cultural,290.40000000000003,4.63,"Daytona-beach, Fort-lauderdale, Jacksonville, Key-west, Miami, Naples, Orlando, Pensacola, Sarasota, Tallahassee, Tampa, West-palm-beach",Museum,Key-West
